Name,Name_encoding,Location,Location_encoding,Year,year_encoding,Kilometers_Driven,Fuel_codes,Fuel_Type,Transmission,Transmission_codes,Owner_Type,owner_encoding,Mileage,Engine,Power,Seats,New_Price,Price
Honda Amaze S i-Dtech,367,Kochi,7,2016,18,58950,1,Diesel,Manual,1,First,0,25.8,1498,98.6,5,,5.4
Maruti Swift DDiS VDI,1124,Jaipur,6,2017,19,25000,1,Diesel,Manual,1,First,0,28.4,1248,74,5,,5.99
Renault Duster 85PS Diesel RxL Plus,1445,Kochi,7,2014,16,77469,1,Diesel,Manual,1,First,0,20.45,1461,83.8,5,,6.34
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,1319,Bangalore,1,2014,16,78500,1,Diesel,Automatic,0,First,0,14.84,2143,167.62,5,,28
BMW 3 Series 320d,74,Kochi,7,2014,16,32982,1,Diesel,Automatic,0,First,0,22.69,1995,190,5,47.87 Lakh,18.55
Maruti S Cross DDiS 200 Alpha,1099,Bangalore,1,2015,17,55392,1,Diesel,Manual,1,Second,2,23.65,1248,88.5,5,,8.25
Audi A6 2011-2015 35 TFSI Technology,33,Mumbai,9,2015,17,55985,4,Petrol,Automatic,0,First,0,13.53,1984,177.01,5,,23.5
Hyundai i20 1.2 Magna,714,Kolkata,8,2010,12,45807,4,Petrol,Manual,1,First,0,18.5,1197,80,5,,1.87
Volkswagen Vento Petrol Highline AT,1856,Kolkata,8,2010,12,33000,4,Petrol,Automatic,0,First,0,14.4,1598,103.6,5,,2.85
Honda City Corporate Edition,426,Mumbai,9,2012,14,51920,4,Petrol,Manual,1,First,0,16.8,1497,116.3,5,,4.25
Nissan Micra Diesel XV,1378,Hyderabad,5,2012,14,54000,1,Diesel,Manual,1,First,0,23.08,1461,63.1,5,,4.25
Maruti Alto K10 2010-2014 VXI,960,Hyderabad,5,2013,15,54000,4,Petrol,Manual,1,Second,2,20.92,998,67.1,5,,2.75
Honda WRV i-VTEC VX,499,Kochi,7,2018,20,37430,4,Petrol,Manual,1,First,0,17.5,1199,88.7,5,10.57 Lakh,9.9
Toyota Innova 2.5 V Diesel 7-seater,1759,Mumbai,9,2007,9,262000,1,Diesel,Manual,1,Fourth & Above,1,12.8,2494,102,7,,4
Renault Duster 110PS Diesel RxZ Pack,1437,Bangalore,1,2013,15,62000,1,Diesel,Manual,1,First,0,19.01,1461,108.45,5,,7.75
Toyota Corolla Altis G,1692,Delhi,4,2012,14,87615,4,Petrol,Manual,1,First,0,14.53,1798,138.1,5,,6.75
Mahindra Ssangyong Rexton RX7,901,Bangalore,1,2013,15,72000,1,Diesel,Automatic,0,Second,2,11.18,2696,184,7,,12.5
Audi A6 2.7 TDI,25,Kolkata,8,2010,12,35000,1,Diesel,Automatic,0,First,0,12.4,2698,179.5,5,,11.5
Volkswagen Vento 1.6 Highline,1844,Coimbatore,3,2014,16,55431,4,Petrol,Manual,1,Second,2,16.09,1598,103.5,5,12.33 Lakh,6.98
Maruti Wagon R LXI BSIII,1199,Jaipur,6,2009,11,83816,4,Petrol,Manual,1,Second,2,14,1061,64,5,,1.85
Maruti Vitara Brezza ZDi Plus,1183,Kochi,7,2018,20,50075,1,Diesel,Manual,1,First,0,24.3,1248,88.5,5,11.12 Lakh,8.63
Mahindra KUV 100 mFALCON G80 K6 5str AW,849,Delhi,4,2017,19,52000,4,Petrol,Manual,1,First,0,18.15,1198,82,5,,4.85
Mercedes-Benz M-Class ML 350 CDI,1300,Pune,10,2013,15,85000,1,Diesel,Automatic,0,First,0,11.74,2987,254.8,5,,28
Volkswagen Polo Diesel Trendline 1.2L,1825,Chennai,2,2013,15,62000,1,Diesel,Manual,1,First,0,22.07,1199,73.9,5,,5
Maruti Alto LXi,970,Delhi,4,2008,10,90000,4,Petrol,Manual,1,Second,2,19.7,796,46.3,5,,1.25
Tata Nano LX SE,1619,Kochi,7,2014,16,19698,4,Petrol,Manual,1,First,0,25.4,624,37.5,4,,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,847,Coimbatore,3,2017,19,22033,1,Diesel,Manual,1,First,0,25.32,1198,77,6,,5.58
Hyundai i20 Magna Optional 1.2,762,Kochi,7,2014,16,35487,4,Petrol,Manual,1,First,0,18.5,1197,82.9,5,,4.74
Hyundai Elantra 2.0 SX Option AT,536,Bangalore,1,2014,16,46374,4,Petrol,Automatic,0,First,0,14.62,1999,149.92,5,23.64 Lakh,8.85
Toyota Corolla Altis G AT,1693,Mumbai,9,2016,18,52001,4,Petrol,Automatic,0,First,0,14.28,1798,138.03,5,,10.11
Hyundai Elantra CRDi,537,Ahmedabad,0,2008,10,58005,1,Diesel,Manual,1,Second,2,14.9,1991,112.2,5,,4.25
Toyota Innova Crysta 2.7 GX MT,1776,Bangalore,1,2012,14,70704,4,Petrol,Manual,1,First,0,11.25,2694,163.7,7,18.64 Lakh,10.95
Hyundai Xcent 1.1 CRDi S,668,Jaipur,6,2014,16,75000,1,Diesel,Manual,1,First,0,24.4,1120,71,5,,3.85
Mahindra Thar CRDe AC,908,Jaipur,6,2012,14,75800,1,Diesel,Manual,1,Second,2,16.55,2498,105,6,,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,8,Kochi,7,2015,17,13648,1,Diesel,Automatic,0,First,0,17.11,1968,174.33,5,,21.43
Maruti Swift LDI,1147,Delhi,4,2014,16,52000,1,Diesel,Manual,1,First,0,22.9,1248,74,5,,4.25
Maruti Swift Ldi BSIV,1156,Kolkata,8,2014,16,53000,1,Diesel,Manual,1,First,0,17.8,1248,75,5,,3.3
Maruti Swift VDI,1159,Delhi,4,2013,15,65650,1,Diesel,Manual,1,First,0,28.4,1248,74,5,,3.85
Hyundai Grand i10 Sportz,577,Chennai,2,2015,17,54000,4,Petrol,Manual,1,Third,3,18.9,1197,82,5,,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,1845,Kolkata,8,2015,17,39000,4,Petrol,Manual,1,First,0,15.04,1598,103.2,5,,3.99
Renault KWID RXT,1459,Kochi,7,2017,19,16542,4,Petrol,Manual,1,First,0,25.17,799,53.3,5,,3.3
Hyundai i10 Asta,687,Kolkata,8,2010,12,32000,4,Petrol,Manual,1,First,0,20.36,1197,78.9,5,,2.07
Nissan X-Trail SLX AT,1413,Hyderabad,5,2010,12,121812,1,Diesel,Automatic,0,First,0,13.29,1995,147.6,5,,7.75
Maruti Zen Estilo VXI BSIII,1226,Hyderabad,5,2010,12,39300,4,Petrol,Manual,1,First,0,18.2,998,67.1,5,,2.25
Toyota Innova Crysta 2.4 GX MT 8S,1772,Mumbai,9,2017,19,22000,1,Diesel,Manual,1,First,0,13.68,2393,147.8,8,19.34 Lakh,16.5
Ford Figo Diesel Titanium,329,Bangalore,1,2010,12,72000,1,Diesel,Manual,1,First,0,20,1399,68,5,,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,1314,Delhi,4,2015,17,58000,4,Petrol,Automatic,0,First,0,11.74,1796,186,5,,26.7
Mercedes-Benz New C-Class 200 CDI Classic,1302,Pune,10,2011,13,65000,1,Diesel,Manual,1,Second,2,15.8,2148,170,5,,10
Tata Indica V2 eLS,1577,Chennai,2,2016,18,178000,1,Diesel,Manual,1,First,0,25,1396,69,5,,2.5
Audi A4 2.0 TDI Multitronic,11,Jaipur,6,2012,14,65664,1,Diesel,Automatic,0,First,0,16.55,1968,140,5,,13.5
Honda City ZX CVT,431,Mumbai,9,2007,9,63000,4,Petrol,Automatic,0,Second,2,16.4,1497,78,5,,1.85
Mercedes-Benz C-Class Progressive C 220d,1241,Coimbatore,3,2019,21,15369,1,Diesel,Automatic,0,First,0,0,1950,194,5,49.14 Lakh,35.67
Maruti Ertiga SHVS VDI,1057,Pune,10,2016,18,63000,1,Diesel,Manual,1,First,0,24.52,1248,88.5,7,,8.15
Hyundai Creta 1.4 E Plus Diesel,509,Mumbai,9,2018,20,13000,1,Diesel,Manual,1,First,0,22.1,1396,88.7,5,11.81 Lakh,10.5
Porsche Cayenne 2009-2014 Turbo,1417,Mumbai,9,2008,10,73000,4,Petrol,Automatic,0,First,0,8.5,4806,500,5,,14.5
Mahindra XUV500 W8 4WD,925,Mumbai,9,2015,17,55729,1,Diesel,Manual,1,First,0,15.1,2179,140,7,,9.65
Hyundai i10 Sportz 1.2 AT,707,Kochi,7,2012,14,45178,4,Petrol,Automatic,0,First,0,16.95,1197,78.9,5,,3.48
Nissan Terrano XV D Pre,1410,Kochi,7,2015,17,56066,1,Diesel,Manual,1,First,0,19.64,1461,108.5,5,16.65 Lakh,6.92
Honda Brio VX AT,396,Coimbatore,3,2016,18,37300,4,Petrol,Automatic,0,Second,2,16.5,1198,86.8,5,,6.46
Audi A6 2.0 TDI Design Edition,24,Delhi,4,2014,16,56000,1,Diesel,Automatic,0,Second,2,18.53,1968,187.74,5,,29.5
Ford Fiesta 1.4 SXi TDCi,284,Jaipur,6,2008,10,111111,1,Diesel,Manual,1,First,0,17.8,1399,null ,5,,2
Toyota Innova 2.0 G1,1742,Chennai,2,2006,8,230000,4,Petrol,Manual,1,Third,3,12.4,1998,132,8,,4.5
Toyota Innova 2.5 VX 7 STR BSIV,1765,Hyderabad,5,2012,14,104000,1,Diesel,Manual,1,First,0,12.8,2494,102,7,,11.75
Hyundai Santro Xing XL,601,Hyderabad,5,2005,7,87591,4,Petrol,Manual,1,First,0,0,1086,null ,5,,1.3
Maruti Swift VDI,1159,Jaipur,6,2012,14,95100,1,Diesel,Manual,1,First,0,22.9,1248,74,5,,3.75
Tata Zest Revotron 1.2T XE,1666,Pune,10,2017,19,70000,4,Petrol,Manual,1,First,0,17.57,1193,88.7,5,6.67 Lakh,4.5
Honda Amaze SX i-VTEC,371,Kochi,7,2016,18,54944,4,Petrol,Manual,1,First,0,18,1198,86.7,5,,4.82
Ford Figo Diesel ZXI,330,Hyderabad,5,2012,14,70337,1,Diesel,Manual,1,First,0,20,1399,68,5,,2.8
Maruti Ritz VDi,1092,Jaipur,6,2013,15,99638,1,Diesel,Manual,1,First,0,23.2,1248,73.94,5,,3.11
Honda City i VTEC E,447,Delhi,4,2009,11,52000,4,Petrol,Manual,1,First,0,17.8,1497,117.3,5,,3.25
BMW 5 Series 2003-2012 525d,97,Delhi,4,2011,13,75000,1,Diesel,Automatic,0,Second,2,16.73,1995,218,5,,13.9
Hyundai i10 Sportz 1.2,706,Pune,10,2009,11,95980,4,Petrol,Manual,1,First,0,20.36,1197,78.9,5,,2.25
Hyundai Grand i10 Sportz,577,Bangalore,1,2016,18,16000,4,Petrol,Manual,1,First,0,18.9,1197,82,5,,5.75
Hyundai Santro Xing XO,605,Hyderabad,5,2007,9,73745,4,Petrol,Manual,1,First,0,17,1086,null ,5,,2.1
Honda Amaze SX i-VTEC,371,Mumbai,9,2016,18,18949,4,Petrol,Manual,1,First,0,17.8,1198,86.7,5,,5
Toyota Fortuner 4x2 Manual,1736,Delhi,4,2014,16,107000,1,Diesel,Manual,1,First,0,13,2982,168.5,7,,16.5
Audi A6 2011-2015 35 TDI Premium,31,Coimbatore,3,2018,20,48367,1,Diesel,Automatic,0,First,0,17.68,1968,174.33,5,,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,258,Delhi,4,2013,15,57000,1,Diesel,Manual,1,First,0,22.7,1498,89.84,5,,5.5
Mahindra XUV500 W8 2WD,924,Delhi,4,2014,16,58000,1,Diesel,Manual,1,First,0,15.1,2179,140,7,,8.1
Honda Amaze SX i-DTEC,370,Kolkata,8,2015,17,30000,1,Diesel,Manual,1,First,0,25.8,1498,98.6,5,,3.5
Volkswagen Polo Diesel Highline 1.2L,1824,Kolkata,8,2013,15,34212,1,Diesel,Manual,1,First,0,22.07,1199,73.9,5,,2.79
Hyundai Verna Transform SX VGT CRDi,656,Ahmedabad,0,2010,12,70002,1,Diesel,Manual,1,First,0,16.2,1493,110,5,,3.45
Maruti Wagon R VXI BS IV,1211,Bangalore,1,2016,18,62000,4,Petrol,Manual,1,First,0,18.9,998,67.1,5,,4.45
Volkswagen Polo Petrol Highline 1.6L,1833,Delhi,4,2010,12,62001,4,Petrol,Manual,1,First,0,15.26,1598,103.5,5,,2.65
Hyundai i20 1.4 CRDi Sportz,726,Pune,10,2011,13,78958,1,Diesel,Manual,1,Second,2,23,1396,90,5,,3.8
Hyundai i20 Asta 1.2,750,Mumbai,9,2014,16,30180,4,Petrol,Manual,1,First,0,18.5,1197,82.85,5,,4.65
Datsun GO Plus T Petrol,204,Pune,10,2017,19,32851,4,Petrol,Manual,1,First,0,19.83,1198,67,7,6.45 Lakh,3.95
Audi A4 3.0 TDI Quattro Premium,15,Kolkata,8,2010,12,30000,1,Diesel,Automatic,0,First,0,14.94,2967,241.4,5,,9.8
Hyundai i20 2015-2017 Asta,733,Pune,10,2009,11,66000,4,Petrol,Manual,1,Second,2,17,1197,80,5,,2.7
Maruti Omni 5 Str STD,1079,Coimbatore,3,2010,12,93850,4,Petrol,Manual,1,First,0,14,796,35,5,,2.41
Toyota Etios Liva 1.2 G,1714,Ahmedabad,0,2014,16,53000,4,Petrol,Manual,1,First,0,17.71,1197,78.9,5,6.41 Lakh,3.9
Jaguar XF 3.0 Litre S Premium Luxury,780,Hyderabad,5,2011,13,78000,1,Diesel,Automatic,0,Second,2,14.74,2993,270.9,5,,24
Mahindra XUV500 W8 2WD,924,Delhi,4,2012,14,65000,1,Diesel,Manual,1,Second,2,16,2179,140,7,,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,634,Kolkata,8,2014,16,40000,1,Diesel,Automatic,0,First,0,22.32,1582,126.32,5,,5.25
Toyota Innova Crysta 2.8 ZX AT,1779,Mumbai,9,2017,19,30000,1,Diesel,Automatic,0,First,0,11.36,2755,171.5,7,27 Lakh,19.25
Maruti Eeco 5 Seater AC,1050,Coimbatore,3,2017,19,38053,4,Petrol,Manual,1,First,0,15.1,1196,73,5,5.13 Lakh,3.91
Tata Nano Twist XT,1623,Bangalore,1,2014,16,25500,4,Petrol,Manual,1,First,0,25.4,624,37.5,4,,2.15
BMW 3 Series 320d Luxury Line,79,Mumbai,9,2015,17,56087,1,Diesel,Automatic,0,First,0,22.69,1995,190,5,54.43 Lakh,20.75
Honda Civic 2006-2010 1.8 V MT,466,Delhi,4,2010,12,71088,4,Petrol,Manual,1,First,0,13.5,1799,130,5,,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,1761,Ahmedabad,0,2014,16,55000,1,Diesel,Manual,1,First,0,12.99,2494,100.6,7,,11.11
Volvo V40 Cross Country D3,1867,Bangalore,1,2014,16,32700,1,Diesel,Automatic,0,First,0,23.3,1984,150,5,,20
Nissan Micra XV CVT,1385,Coimbatore,3,2016,18,39882,4,Petrol,Automatic,0,First,0,19.15,1198,75.94,5,9.51 Lakh,6.55
BMW 5 Series 2010-2013 525i,103,Mumbai,9,2009,11,128000,4,Petrol,Automatic,0,First,0,10.8,2497,215,5,,7
Maruti Vitara Brezza VDi,1180,Mumbai,9,2016,18,55000,1,Diesel,Manual,1,First,0,24.3,1248,88.5,5,9.96 Lakh,7.5
Hyundai Santro Xing XL eRLX Euro III,604,Mumbai,9,2005,7,102000,4,Petrol,Manual,1,Second,2,17,1086,null ,5,,0.85
Mercedes-Benz B Class B200 CDI,1240,Pune,10,2014,16,53753,1,Diesel,Automatic,0,Second,2,15,2143,107.3,5,,16.75
Hyundai Verna CRDi 1.6 SX Option,650,Kolkata,8,2018,20,10250,1,Diesel,Manual,1,First,0,22,1582,126.2,5,14.44 Lakh,10.95
Maruti Wagon R LXI BS IV,1197,Pune,10,2011,13,43874,4,Petrol,Manual,1,First,0,18.9,998,67.1,5,,2.45
Tata Nano XTA,1625,Coimbatore,3,2017,19,32684,4,Petrol,Automatic,0,First,0,21.9,624,37.48,4,,3.23
Mahindra Scorpio VLX,889,Kolkata,8,2014,16,42000,1,Diesel,Manual,1,First,0,12.05,2179,120,8,,7.75
Mercedes-Benz New C-Class 200 K AT,1304,Kolkata,8,2009,11,28352,4,Petrol,Automatic,0,First,0,11.7,1796,178,5,,9.35
Maruti Wagon R LXI CNG,1200,Pune,10,2013,15,89900,0,CNG,Manual,1,First,0,26.6,998,58.16,5,,3.25
Honda CR-V 2.4 MT,402,Bangalore,1,2007,9,47700,4,Petrol,Manual,1,Second,2,10.8,2354,152,5,,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,1839,Pune,10,2015,17,55000,1,Diesel,Automatic,0,First,0,21.21,1498,103.2,5,,7.25
Maruti Ciaz VXi Plus,1030,Kochi,7,2017,19,44285,4,Petrol,Manual,1,First,0,20.73,1373,91.1,5,,7.47
Mahindra XUV500 AT W10 FWD,914,Jaipur,6,2016,18,54000,1,Diesel,Automatic,0,First,0,16,2179,140,7,,13.25
Maruti Ritz VXI ABS,1094,Coimbatore,3,2016,18,30232,4,Petrol,Manual,1,First,0,21.1,1197,85.8,5,,5.81
Maruti Alto K10 VXI,965,Hyderabad,5,2014,16,88500,4,Petrol,Manual,1,First,0,24.07,998,67.1,5,4.53 Lakh,2.6
Mercedes-Benz SLC 43 AMG,1342,Kolkata,8,2017,19,13372,4,Petrol,Automatic,0,First,0,19,2996,362.07,2,95.04 Lakh,54
Hyundai Verna VTVT 1.6 AT SX Plus,662,Kochi,7,2019,21,12645,4,Petrol,Automatic,0,First,0,17,1591,121.3,5,13.49 Lakh,11.5
Maruti Alto LXi BSIII,972,Chennai,2,2010,12,94385,4,Petrol,Manual,1,Second,2,19.7,796,46.3,5,,1.6
BMW 1 Series 118d Base,70,Coimbatore,3,2015,17,31821,1,Diesel,Automatic,0,First,0,20.58,1995,143,5,,17.22
Honda Jazz 1.2 V CVT i VTEC,474,Mumbai,9,2015,17,12000,4,Petrol,Automatic,0,First,0,19,1199,88.7,5,,6
Honda Civic 2006-2010 1.8 V MT,466,Delhi,4,2012,14,88578,4,Petrol,Manual,1,First,0,13.5,1799,130,5,,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,1318,Kochi,7,2014,16,44965,1,Diesel,Automatic,0,First,0,19.27,2143,170,5,,17.95
Honda Amaze SX i-DTEC,370,Kolkata,8,2014,16,45044,1,Diesel,Manual,1,First,0,25.8,1498,98.6,5,,3.7
Maruti Swift VVT VXI,1164,Kochi,7,2016,18,34204,4,Petrol,Manual,1,First,0,22,1197,81.8,5,,5.43
Hyundai Santro Xing XO eRLX Euro II,607,Kochi,7,2008,10,80759,4,Petrol,Manual,1,Third,3,17,1086,null ,5,,1.67
Toyota Fortuner 3.0 Diesel,1731,Coimbatore,3,2012,14,91235,1,Diesel,Manual,1,First,0,11.5,2982,171,7,,13.49
Chevrolet Beat LT Option,171,Pune,10,2014,16,38800,4,Petrol,Manual,1,First,0,18.6,1199,76.8,5,,2.85
Skoda Rapid 1.5 TDI Elegance,1517,Chennai,2,2013,15,83000,1,Diesel,Manual,1,First,0,21.14,1498,103.52,5,,4.75
Maruti Ciaz 1.4 Alpha,1019,Kochi,7,2018,20,41283,4,Petrol,Manual,1,First,0,20.73,1373,91.1,5,,9.9
Audi RS5 Coupe,67,Mumbai,9,2013,15,23000,4,Petrol,Automatic,0,First,0,11.05,2894,444,4,1.28 Cr,37
BMW 3 Series Luxury Line,93,Mumbai,9,2014,16,48000,1,Diesel,Automatic,0,First,0,21.76,1995,190,5,60.88 Lakh,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,8,Coimbatore,3,2015,17,48214,1,Diesel,Automatic,0,First,0,17.11,1968,174.33,5,,23.32
Maruti Swift VDI,1159,Chennai,2,2016,18,35000,1,Diesel,Manual,1,First,0,22.9,1248,74,5,,6.25
Mercedes-Benz S Class 2005 2013 S 500,1337,Kolkata,8,2010,12,35277,4,Petrol,Automatic,0,First,0,7.81,5461,362.9,5,,30
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,1513,Coimbatore,3,2016,18,54620,1,Diesel,Automatic,0,First,0,21.66,1498,103.52,5,,9.86
Skoda Superb Elegance 2.0 TDI CR AT,1550,Pune,10,2012,14,136997,1,Diesel,Automatic,0,First,0,17.2,1968,138.1,5,,8.5
Hyundai EON Magna Plus,532,Kochi,7,2019,21,14322,4,Petrol,Manual,1,First,0,21.1,814,55.2,5,,4.23
Volkswagen Polo Diesel Trendline 1.2L,1825,Jaipur,6,2012,14,65634,1,Diesel,Manual,1,First,0,22.07,1199,73.9,5,,3.5
Datsun GO NXT,201,Kolkata,8,2016,18,6000,4,Petrol,Manual,1,First,0,20.63,1198,67.06,5,,2.5
Honda Brio S MT,391,Kolkata,8,2013,15,33280,4,Petrol,Manual,1,First,0,19.4,1198,86.8,5,,2.39
Mercedes-Benz B Class B180,1239,Delhi,4,2013,15,29000,4,Petrol,Automatic,0,First,0,14.8,1595,120.7,5,,11.25
Honda City i DTEC V,437,Kochi,7,2015,17,42831,1,Diesel,Manual,1,First,0,26,1498,98.6,5,,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,1745,Ahmedabad,0,2016,18,90000,1,Diesel,Manual,1,First,0,12.99,2494,100.6,7,,10.9
Maruti Swift VXI Optional,1169,Ahmedabad,0,2017,19,24005,4,Petrol,Manual,1,First,0,20.4,1197,81.8,5,,6.2
Mahindra XUV500 W8 2WD,924,Mumbai,9,2012,14,32792,1,Diesel,Manual,1,First,0,15.1,2179,140,7,,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,256,Kochi,7,2014,16,147898,1,Diesel,Manual,1,First,0,22.7,1498,89.84,5,,4.42
Toyota Fortuner 4x2 Manual,1736,Mumbai,9,2012,14,131765,1,Diesel,Manual,1,First,0,13,2982,168.5,7,,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,1837,Chennai,2,2013,15,65000,1,Diesel,Automatic,0,First,0,21.5,1498,108.5,5,,6.25
Ford Figo Diesel Titanium,329,Jaipur,6,2010,12,66123,1,Diesel,Manual,1,Second,2,20,1399,68,5,,2.1
BMW X5 xDrive 30d,149,Mumbai,9,2015,17,41000,1,Diesel,Automatic,0,First,0,15.3,2993,258,5,,45
Mercedes-Benz New C-Class C 220 CDI Style,1323,Coimbatore,3,2017,19,23550,1,Diesel,Automatic,0,First,0,19.27,2143,167.62,5,,33.66
Honda Brio V MT,394,Bangalore,1,2012,14,45000,4,Petrol,Manual,1,Second,2,19.4,1198,86.8,5,,3.65
Hyundai i10 Magna 1.2,698,Delhi,4,2013,15,60000,4,Petrol,Manual,1,First,0,20.36,1197,78.9,5,,2.75
Mercedes-Benz GLC 220,1288,Bangalore,1,2016,18,44414,1,Diesel,Automatic,0,First,0,17.9,2143,170,5,,42.5
Hyundai Grand i10 1.2 Kappa Asta,557,Kolkata,8,2019,21,1000,4,Petrol,Manual,1,First,0,18.9,1197,81.86,5,7.39 Lakh,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,28,Mumbai,9,2012,14,62500,1,Diesel,Automatic,0,Second,2,17.68,1968,174.33,5,,19
Volkswagen Vento Petrol Highline AT,1856,Mumbai,9,2013,15,21000,4,Petrol,Automatic,0,Second,2,14.4,1598,103.6,5,,4.45
Mini Countryman Cooper D,1355,Jaipur,6,2017,19,8525,1,Diesel,Automatic,0,Second,2,16.6,1998,112,5,,23
Hyundai i20 Asta 1.4 CRDi,751,Bangalore,1,2014,16,29000,1,Diesel,Manual,1,First,0,22.54,1396,88.73,5,,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,28,Mumbai,9,2014,16,40000,1,Diesel,Automatic,0,First,0,17.68,1968,174.33,5,,22.95
Chevrolet Beat Diesel LT,167,Jaipur,6,2012,14,88000,1,Diesel,Manual,1,First,0,25.44,936,57.6,5,,1.5
Skoda Superb Elegance 1.8 TSI AT,1548,Kochi,7,2012,14,53537,4,Petrol,Automatic,0,First,0,13.7,1798,157.75,5,,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,287,Chennai,2,2006,8,216000,1,Diesel,Manual,1,Second,2,17.8,1399,68,5,,1.45
BMW 5 Series 520d Luxury Line,109,Hyderabad,5,2014,16,51000,1,Diesel,Automatic,0,First,0,22.48,1995,190,5,69.47 Lakh,33.5
Chevrolet Optra Magnum 1.6 LS BS3,186,Jaipur,6,2007,9,118500,4,Petrol,Manual,1,First,0,12.9,1598,102.5,5,,1.25
Volkswagen Polo Diesel Highline 1.2L,1824,Hyderabad,5,2012,14,63000,1,Diesel,Manual,1,First,0,22.07,1199,73.9,5,,4.2
Renault Lodgy 110PS RxZ 8 Seater,1462,Mumbai,9,2015,17,25000,1,Diesel,Manual,1,First,0,19.98,1461,108.5,8,,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,1274,Bangalore,1,2014,16,37382,1,Diesel,Automatic,0,First,0,13,2143,201.1,5,,32
Maruti Baleno Alpha,976,Kochi,7,2017,19,24773,4,Petrol,Manual,1,First,0,21.4,1197,83.1,5,8.78 Lakh,7.5
Hyundai Verna 1.6 SX,633,Delhi,4,2012,14,62000,1,Diesel,Manual,1,First,0,22.32,1582,126.32,5,,4.6
Hyundai i10 Magna 1.1,695,Kochi,7,2017,19,52340,4,Petrol,Manual,1,First,0,19.81,1086,68.05,5,,4.04
Mahindra Scorpio 1.99 S10 4WD,863,Kochi,7,2016,18,56739,1,Diesel,Manual,1,First,0,15.4,1997,120,7,,10.31
